Chr Start End Gene
6 4136072 4157385 ECI2-DT
6 4186320 4190029 LOC102724096
6 4341754 4347162 LOC101927888
6 4488798 4495771 LINC02533
6 4610565 4611919 KU-MEL-3
6 4774526 4775426 CDYL-AS1
6 5003816 5240496 LYRM4-AS1
6 5085341 5089487 PPP1R3G
6 5148233 5148322 MIR3691
6 5452468 5458075 FARS2-AS1
6 5664985 5695272 LOC101927950
6 6144084 6320662 F13A1
6 6169304 6169435 MIR7853
6 6169334 6169409 MIR5683
6 6346465 6622826 LY86-AS1
6 6588720 6654982 LY86
6 6694792 6801171 LOC101928004
6 6751906 6759302 LOC105374901
6 7107743 7251980 RREB1
6 7281143 7313199 SSR1
6 7326659 7389742 CAGE1
6 7540451 7543083 DSP-AS1
6 7541671 7586714 DSP
6 7726099 7881728 BMP6
6 7881250 8064414 BLOC1S5-TXNDC5
6 7881517 7910788 TXNDC5
6 8013567 8102595 EEF1E1-BLOC1S5
6 8013567 8064414 BLOC1S5
6 8073360 8102548 EEF1E1
6 8086408 8086533 SCARNA27
6 8435623 8785445 LOC100506207
6 8652269 8653856 HULC
6 9704978 10211608 OFCC1
6 10396677 10419659 TFAP2A
6 10404502 10407927 TFAP2A-AS2
6 10412318 10416169 TFAP2A-AS1
6 10427785 10434822 LINC00518
6 10434329 10456781 MIR5689HG
6 10439717 10439794 MIR5689
6 10465912 10481966 LINC02522
6 10723070 10731127 TMEM14C
6 10743324 10747584 TMEM14B-DT
6 10747759 10759774 TMEM14B
6 10873223 10882041 GCM2
6 10887052 10974309 SYCP2L
6 10932317 10954089 LOC101928191
6 11043758 11079144 ELOVL2-AS1
6 11093834 11138733 SMIM13
6 11102489 11111725 ERVFRD-1
6 11183298 11382348 NEDD9
6 11417363 11524124 LOC105374928
6 11990343 12001244 LOC101928253
6 12230516 12297194 EDN1
6 12582768 12585404 LINC02530
6 13266536 13328537 TBC1D7-LOC100130357
6 13273094 13295586 LOC100130357
6 13304951 13328537 TBC1D7
6 13357830 13487600 GFOD1
6 13486261 13486771 GFOD1-AS1
6 13615335 13632470 NOL7
6 14117256 14136918 CD83
6 14280127 14285454 LINC01108
6 14391091 14393861 LOC105374943
6 15243923 15245374 JARID2-DT
6 15247815 15248696 JARID2-AS1
6 15994944 16000491 LINC02543
6 16141556 16141624 MIR4639
6 16299112 16761460 ATXN1
6 16328342 16328431 LOC127903862
6 16761138 16766883 ATXN1-AS1
6 17102050 17131378 STMND1
6 17393595 17557780 CAP2
6 17501360 17511265 LOC101928491
6 17600302 17611715 FAM8A1
6 17615037 17706925 NUP153
6 17706130 17711027 NUP153-AS1
6 17759126 17987635 KIF13A
6 18120440 18122677 NHLRC1
6 18522747 18722898 MIR548A1HG
6 18571784 18571880 MIR548A1
6 19068543 19180480 LOC101928519
6 19449821 19459348 LOC105374960
6 19729421 19804759 LNC-LBCS
6 19837370 19842197 ID4
6 20437821 20440178 E2F3-IT1
6 21486061 21511892 LINC00581
6 21593751 21598619 SOX4
6 21666413 22195820 CASC15
6 22134602 22147193 NBAT1
6 22569566 22571666 HDGFL1
6 22643510 22717924 LINC03005
6 23337691 23404141 LOC102724749
6 24126215 24147530 NRSN1
6 24171755 24383292 DCDC2
6 24356903 24358285 KAAG1
6 24494969 24537207 ALDH5A1
6 24649979 24666899 TDP2
6 24667077 24705046 ACOT13
6 24742305 24751960 LINC02828
6 24797335 24798917 ARMH2
6 25014952 25036141 LOC102724765
6 25244916 25261407 LOC101928663
6 25652215 25701783 SCGN
6 25726063 25726562 H2AC1
6 25726777 25727345 H2BC1
6 25844856 25874243 SLC17A3
6 25992667 26001775 LINC02980
6 26017032 26017787 H1-1
6 26020451 26020958 H3C1
6 26021649 26022050 H4C1
6 26026896 26027283 H4C2
6 26031589 26032099 H3C2
6 26033092 26033618 H2AC4
6 26043227 26043713 H2BC3
6 26045384 26045869 H3C3
6 26055740 26056470 H1-2
6 26086290 26091034 HFE-AS1
6 26103933 26104337 H4C3
6 26107412 26108135 H1-6
6 26113170 26123926 H2BC4
6 26124172 26124690 H2AC6
6 26156329 26157115 H1-4
6 26160274 26172773 H2BC6-AS1
6 26183761 26184230 H2BC6
6 26188710 26189112 H4C4
6 26196784 26199293 H3C4
6 26198784 26199293 H2AC7
6 26199516 26199988 H2BC7
6 26204610 26205021 H4C5
6 26216200 26216688 H2BC8
6 26216921 26217437 H2AC8
6 26224178 26227473 H3C6
6 26234212 26234987 H1-3
6 26240393 26240793 H4C6
6 26246611 26246996 H4C7
6 26250142 26250635 H3C7
6 26251614 26252075 H2BC9
6 26270918 26271413 H3C8
6 26272931 26273412 H2BC10
6 26285126 26285534 H4C8
6 26440504 26453415 BTN3A3
6 26457955 26476622 BTN2A1
6 26471944 26482509 LOC285819
6 26500303 26510425 BTN1A1
6 26521706 26527393 HCG11
6 26538366 26546933 HMGN4
6 26569324 26574698 LOC105374988
6 26596953 26600739 ABT1
6 26602733 26606661 LOC105374989
6 26634383 26659746 ZNF322
6 26956993 27023974 LINC00240
6 27019366 27020306 LARRPM
6 27132316 27132795 H2BC11
6 27133043 27133535 H2AC11
6 27139282 27139678 H4C9
6 27147106 27147562 H2AC12
6 27147626 27147688 MIR3143
6 27308377 27312273 POM121L2
6 27404006 27473105 ZNF184
6 27694035 27710222 LINC01012
6 27761744 27763187 LOC100131289
6 27807479 27807929 H2BC13
6 27808173 27808667 H2AC13
6 27810051 27810536 H3C10
6 27814302 27814777 H2AC14
6 27815022 27815489 H2BC14
6 27824092 27824480 H4C11
6 27831174 27831560 H4C12
6 27837880 27838375 H2AC15
6 27838569 27839110 H2BC15
6 27865317 27865798 H2AC16
6 27866792 27867588 H1-5
6 27871845 27872346 H3C11
6 27873148 27873534 H4C13
6 27890315 27890826 H3C12
6 27892699 27893185 H2AC17
6 27893425 27893891 H2BC17
6 27911185 27912396 OR2B2
6 27957241 27958182 OR2B6
6 28121795 28137316 ZSCAN16-AS1
6 28259297 28260958 NKAPL
6 28281572 28302549 PGBD1
6 28503296 28515793 GPX6
6 28525881 28534955 GPX5
6 28587378 28591749 ZBED9-AS1
6 28648286 28654475 LINC00533
6 28859625 28863677 LINC01623
6 28896530 28897320 HCG14
6 28903002 28923985 TRIM27
6 28943784 28944538 LINC01556
6 28984749 28988567 HCG15
6 29036021 29076740 OR2W1-AS1
6 29044213 29045175 OR2W1
6 29086208 29087313 OR2B3
6 29099490 29102701 OR2J1
6 29108058 29114770 OR2J3
6 29170907 29175811 OR2J2
6 29223973 29290440 LINC03003
6 29301701 29313017 OR14J1
6 29353749 29368865 OR5V1
6 29373423 29375291 OR12D3
6 29395631 29398008 OR12D2
6 29417065 29418396 OR12D1
6 29425504 29457071 OR11A1
6 29439306 29440977 OR10C1
6 29486697 29487956 MAS1L
6 29497475 29510564 LINC02829
6 29529406 29533568 LINC01015
6 29550407 29557773 OR2I1P
6 29555515 29559732 UBD
6 29582252 29582328 SNORD32B
6 29585121 29590500 OR2H2
6 29657092 29672365 MOG
6 29672392 29681152 ZFP57
6 29726601 29749049 HLA-F-AS1
6 29791031 29793073 HCG4
6 29871895 29873783 HCP5B
6 29924592 29927215 HCG4B
6 29942532 29945870 HLA-A
6 29975115 29978403 HCG9
6 30105240 30114724 TRIM31-AS1
6 30234039 30326134 HCG17
6 30287397 30327156 HCG18
6 30326469 30343729 TRIM39
6 30329311 30346858 TRIM39-RPP21
6 30345156 30346857 RPP21
6 30516266 30519580 LINC02569
6 30541381 30556489 GNL1
6 30571442 30591522 ABCF1
6 30584332 30584417 MIR877
6 30626874 30646821 ATAT1
6 30703067 30713184 MDC1-AS1
6 30720352 30725422 TUBB
6 30742963 30743673 IER3-AS1
6 30743199 30744547 IER3
6 30766825 30792250 HCG20
6 30812866 30830659 LINC00243
6 30839529 30848159 LINC02570
6 30890883 30890972 MIR4640
6 30908207 30914106 GTF2H4
6 30914238 30926459 VARS2
6 30931353 30932170 SFTA2
6 30940973 30954221 MUCL3
6 30945979 30954862 HCG21
6 30983718 30989903 MUC21
6 31005952 31035402 MUC22
6 31111223 31112575 C6orf15
6 31114800 31140092 PSORS1C1
6 31115087 31120446 CDSN
6 31137534 31139066 PSORS1C2
6 31164337 31170682 POU5F1
6 31173735 31186317 PSORS1C3
6 31197760 31203968 HCG27
6 31268749 31272092 HLA-C
6 31293908 31301637 LINC02571
6 31353875 31357179 HLA-B
6 31355224 31355316 MIR6891
6 31394289 31400470 MICA-AS1
6 31400711 31415315 MICA
6 31441667 31446973 LINC01149
6 31463180 31465809 HCP5
6 31471229 31472408 HCG26
6 31479918 31494794 MICB-DT
6 31494918 31511124 MICB
6 31528962 31530232 MCCD1
6 31530219 31546848 ATP6V1G2-DDX39B
6 31530226 31542003 DDX39B
6 31536374 31536449 SNORD117
6 31541101 31541178 SNORD84
6 31542304 31543138 DDX39B-AS1
6 31544444 31546742 ATP6V1G2
6 31546851 31558829 NFKBIL1
6 31559571 31572703 LOC100287329
6 31575565 31578336 TNF
6 31580558 31582425 LTB
6 31623079 31623210 SNORA38
6 31633787 31633858 MIR6832
6 31658298 31660778 C6orf47
6 31666080 31670067 CSNK2B
6 31669976 31673546 LY6G5B
6 31676684 31681067 LY6G5C
6 31686955 31703324 ABHD16A
6 31701029 31701091 MIR4646
6 31706866 31717919 LY6G6F-LY6G6D
6 31706866 31710679 LY6G6F
6 31715348 31717919 LY6G6D
6 31718648 31721746 LY6G6C
6 31730581 31737318 CLIC1
6 31739948 31764850 MSH5-SAPCD1
6 31740005 31762676 MSH5
6 31762656 31764850 SAPCD1
6 31764135 31765588 SAPCD1-AS1
6 31765590 31777328 VWA7
6 31797396 31806966 LSM2
6 31809619 31815283 HSPA1L
6 31815543 31817942 HSPA1A
6 31827738 31830254 HSPA1B
6 31834916 31839761 SNHG32
6 31835263 31835326 SNORD48
6 31837076 31837139 SNORD52
6 31857659 31862821 NEU1
6 31863192 31878997 SLC44A4
6 31877808 31884204 EHMT2-AS1
6 31897783 31945672 C2
6 31899613 31902086 ZBTB12
6 31934474 31941724 C2-AS1
6 31946095 31952084 CFB
6 31956839 31956940 MIR1236
6 31971175 31981446 STK19
6 31982057 32002681 C4A
6 32014795 32035418 C4B
6 32038415 32041644 CYP21A2
6 32041153 32109338 TNXB
6 32115264 32128246 ATF6B
6 32128707 32130288 FKBPL
6 32148363 32153083 PRRT1
6 32152802 32154365 LOC100507547
6 32153528 32163675 PPT2
6 32153999 32168285 PPT2-EGFL8
6 32164595 32168281 EGFL8
6 32168212 32178108 AGPAT1
6 32170030 32170116 MIR6721
6 32178405 32180793 RNF5
6 32179816 32179876 MIR6833
6 32190766 32195523 GPSM3
6 32194843 32224067 NOTCH4
6 32255173 32407730 TSBP1-AS1
6 32390510 32393691 HCG23
6 32393339 32407181 BTNL2
6 32439887 32445046 HLA-DRA
6 32578775 32589848 HLA-DRB1
6 32659467 32666657 HLA-DQB1
6 32659880 32660729 HLA-DQB1-AS1
6 32741391 32747198 HLA-DQA2
6 32749912 32749979 MIR3135B
6 32812763 32817002 HLA-DOB
6 32821831 32838739 TAP2
6 32840717 32844679 PSMB8
6 32844086 32846500 PSMB8-AS1
6 32845209 32853704 TAP1
6 32854192 32859851 PSMB9
6 32894176 32903758 LOC100294145
6 32934636 32941028 HLA-DMB
6 32948618 32953097 HLA-DMA
6 33004182 33009591 HLA-DOA
6 33064569 33080748 HLA-DPA1
6 33075990 33089696 HLA-DPB1
6 33143324 33148815 HCG24
6 33200867 33204437 SLC39A7
6 33204655 33206831 HSD17B8
6 33207835 33207944 MIR219A1
6 33208500 33212716 RING1
6 33246075 33246873 LOC105375022
6 33249536 33254890 HCG25
6 33272075 33276511 RPS18
6 33277123 33278825 B3GALT4
6 33287227 33287289 MIR6873
6 33290245 33290325 MIR6834
6 33314418 33317942 ZBTB22
6 33323628 33329279 SMIM40
6 33416442 33418107 CUTA
6 33437363 33454405 SYNGAP1-AS1
6 33438331 33438437 MIR5004
6 33586104 33593338 LINC00336
6 33631244 33633745 ITPR3-AS1
6 33696764 33711700 UQCC2
6 33698128 33698234 MIR3934
6 33794673 33804003 MLN
6 33889511 33896907 LINC01016
6 33893129 33918200 LOC105375026
6 33899135 33899200 MIR7159
6 33999972 34000051 MIR1275
6 34018643 34155622 GRM4
6 34236873 34246231 HMGA1
6 34240673 34240736 MIR6835
6 34246395 34249006 SMIM29
6 34279679 34392669 NUDT3
6 34287194 34426069 RPS10-NUDT3
6 34417454 34426069 RPS10
6 34696154 34697471 ILRUN-AS1
6 34757505 34773857 SNRPC
6 34792083 34877514 BLTP3A
6 35468401 35470780 RPL10A
6 35470508 35470579 MIR7111
6 35473597 35497079 TEAD3
6 35497874 35512896 TULP1
6 35543644 35545671 LOC101929309
6 35573590 35728583 FKBP5
6 35664717 35664789 MIR5690
6 35726762 35736947 LOC285847
6 35776598 35779552 CLPSL2
6 35794982 35797323 CLPS
6 35805352 35824070 LHFPL5
6 35832966 35921098 SRPK1
6 36130513 36144521 MAPK13
6 36146692 36197203 BRPF3-AS1
6 36594362 36605600 SRSF3
6 36622436 36622512 MIR3925
6 36673621 36675126 PANDAR
6 36676463 36687332 CDKN1A
6 36677609 36678559 DINOL
6 36854829 36874803 PPIL1
6 36968135 36986551 MTCH1
6 37170152 37175428 PIM1
6 37212181 37258144 TMEM217
6 37212181 37258144 TMEM217B
6 37353983 37394734 RNF8
6 37432228 37433223 LOC107986531
6 37482938 37499893 CCDC167
6 37507348 37536280 LINC02520
6 37555365 37555422 MIR4462
6 38481596 38482527 BTBD9-AS1
6 38675925 38703145 GLO1
6 38714170 38715215 DNAH8-DT
6 38906495 38953107 DNAH8-AS1
6 39048781 39091303 GLP1R
6 39074314 39074381 MIR9983
6 39104063 39115186 SAYSD1
6 39299001 39314419 KCNK17
6 39888790 39897380 DAAM2-AS1
6 40271565 40276331 LOC105375050
6 40344345 40356006 LINC00951
6 40378337 40379893 TDRG1
6 40505498 40523965 LOC105379699
6 40712844 40715378 LOC101929535
6 40878886 41023280 LOC101929555
6 41026895 41039221 UNC5CL
6 41053202 41064891 APOBEC2
6 41064772 41097787 OARD1
6 41072974 41102403 NFYA
6 41158508 41163116 TREM2
6 41228349 41238882 TREML4
6 41499079 41519852 LINC01276
6 41523895 41548621 FOXP4-AS1
6 41598723 41598788 MIR4641
6 41733554 41733610 MIR10398
6 41736711 41747397 PGC
6 41780782 41787452 PRICKLE4
6 41787694 41789895 TOMM6
6 41789896 41895375 USP49
6 41905354 41921139 MED20
6 42155406 42180056 GUCA1ANB-GUCA1A
6 42155406 42163418 CIMIP3
6 42173364 42180056 GUCA1A
6 42183284 42194956 GUCA1B
6 42452360 42457184 LOC107986596
6 42744498 42746103 TBCC
6 42783496 42791323 LOC401261
6 42879616 42889900 RPL7L1
6 42890265 42890821 C6orf226
6 42928002 42939294 CNPY3
6 42929480 42963880 CNPY3-GNMT
6 42940493 42948360 LINC02976
6 42960754 42963880 GNMT
6 42984570 43012342 PPP2R5D
6 43021623 43029599 RRP36
6 43059631 43075093 KLC4
6 43225629 43229481 DNPH1
6 43305472 43308826 CRIP3
6 43336070 43369647 ZNF318
6 43434542 43434620 MIR6780B
6 43506968 43510346 LRRC73
6 43522334 43576038 XPO5
6 43629540 43640941 MAD2L1BP
6 43645036 43672600 RSPH9
6 43770211 43786487 VEGFA
6 43844876 43852333 LINC02537
6 43891028 43938207 LINC01512
6 43995723 44074652 SCIRT
6 44000585 44007612 LINC03040
6 44113451 44127452 MRPL14
6 44246194 44253883 HSP90AB1
6 44254101 44257890 SLC35B2
6 44254206 44254285 MIR4647
6 44258166 44265551 NFKBIE
6 44270450 44279444 TMEM151B
6 44342650 44380179 SPATS1
6 44435641 44435722 MIR4642
6 44546161 44551881 LOC105375075
6 45197674 45197770 MIR586
6 45328330 45551082 RUNX2
6 45565050 45576791 RUNX2-AS1
6 46129989 46146688 ENPP4
6 46276324 46365508 LOC101926915
6 46492052 46533486 RCAN2-DT
6 46670444 46688165 TDRD6-AS1
6 46680268 46704319 TDRD6
6 46903471 46910029 ADGRF5-AS1
6 47231532 47309905 TNFRSF21
6 47477243 47478072 CD2AP-DT
6 47656472 47697794 ADGRF2
6 47698580 47722014 ADGRF4
6 49499923 49528078 GLYATL3
6 49727376 49744388 CRISP3
6 49785660 49787285 PGK2
6 49811540 49820503 LOC101927020
6 49815493 49824766 LOC101927048
6 49960249 49964164 DEFB114
6 49968677 49969625 DEFB113
6 50009138 50021994 DEFB110
6 50042099 50049929 DEFB112
6 50093608 50099283 LOC100505985
6 50713526 50773033 TFAP2D
6 51621870 51622577 LOC101927082
6 52144349 52144434 MIR206
6 52146814 52151023 LINCMD1
6 52148923 52149041 MIR133B
6 52186375 52190638 IL17A
6 52264015 52284742 MCM3
6 52362151 52407777 PAQR8
6 52420342 52497198 EFHC1
6 52577202 52583993 TRAM2-AS1
6 52664401 52669153 LOC730101
6 52671113 52686588 TMEM14A
6 52995620 52995951 RN7SK
6 53001303 53061824 CILK1
6 53041266 53041385 LOC128092246
6 53064998 53100873 FBXO9
6 53065602 53065673 LOC128031835
6 53126961 53148841 GCM1
6 53267404 53348950 ELOVL5
6 53276993 53277071 MIR5685
6 53431494 53506911 GCLC-AS1
6 53497341 53545101 GCLC
6 53561289 53573275 KILH
6 53628380 53631394 LINC01564
6 53647916 53665756 KLHL31
6 53929982 53997667 LOC101927189
6 53998890 54007152 MLIP-IT1
6 54046819 54047594 MLIP-AS1
6 55327469 55402493 GFRAL
6 56457996 56954830 DST
6 56843986 56864338 DST-AS1
6 57114911 57172213 ZNF451-AS1
6 57186992 57222307 RAB23
6 57260524 57263346 LINC03001
6 57390132 57390212 MIR548U
6 57945834 57961446 LINC00680
6 57961548 57973687 LOC101927293
6 61542670 62286225 KHDRBS2
6 63211469 63213027 FKBP1C
6 63516440 63583588 PTP4A1
6 63572480 63583588 LOC128125822
6 63719980 65707226 EYS
6 63806836 63822642 SCAT8
6 68055351 68060502 LOC102723883
6 68226970 68329899 LINC02549
6 68632663 68634324 ADGRB3-DT
6 68635282 69389506 ADGRB3
6 68635890 68635967 LOC127898563
6 69674010 69797010 LMBRD1
6 70394202 70399417 LINC01610
6 70412828 70413958 FAM135A-AS1
6 71376960 71377031 MIR30C2
6 71403551 71403621 MIR30A
6 71407864 71420745 LINC00472
6 71421027 71458872 LINC01626
6 72614360 72622679 KCNQ5-DT
6 72630495 72678558 KCNQ5-IT1
6 72967687 72967753 MIR4282
6 73134803 73143514 KCNQ5-AS1
6 73223544 73310159 LOC122539213
6 73223544 73225496 KHDC1L
6 73241314 73310378 KHDC1
6 73274134 73310378 C6orf147
6 73353063 73354276 DPPA5
6 73362658 73364171 KHDC3L
6 73369704 73387717 OOEP-AS1
6 73423711 73452297 CGAS
6 73515750 73521032 EEF1A1
6 73523611 73576253 EEF1A1-AS1
6 73693903 73696131 CD109-AS1
6 74069451 74690727 LOC101928516
6 74594179 74734365 LOC105377858
6 75128709 75128782 SNORD156
6 75252924 75284792 TMEM30A
6 75285014 75291864 TMEM30A-DT
6 75383186 75458900 LOC101928540
6 75428407 75428473 MIR4463
6 75601880 75718281 SENP6
6 75921114 76072662 IMPG1
6 76522448 76593623 LINC02540
6 76774950 77097788 LOC105377862
6 77460924 77463491 HTR1B
6 78539263 78539309 MIR10524
6 79201245 79234682 HMGN3
6 79233674 79236800 HMGN3-AS1
6 79307669 79313384 LCAL1
6 79803583 79812246 LINC01621
6 79914814 79947553 ELOVL4
6 81745730 81752681 TENT5A
6 81813286 81814192 LINC01526
6 81843781 82101765 LINC02542
6 82169987 82247744 IBTK
6 82362983 82367420 TPBG
6 83210402 83431051 ME1
6 83512534 83525704 PRSS35
6 83552885 83709393 SNAP91
6 83709442 83726495 LOC105377879
6 83853229 83857515 RIPPLY2
6 83853360 83967423 RIPPLY2-CYB5R4
6 83859689 83967423 CYB5R4
6 84421028 84474929 LINC01611
6 84689458 84709534 TBX18-AS1
6 84732496 84764598 TBX18
6 85387219 85404802 LINC02535
6 85450083 85495784 NT5E
6 85677007 85678733 SNHG5
6 85677294 85677368 SNORD50A
6 85677589 85677659 SNORD50B
6 87085498 87095106 CGA
6 87282980 87329278 GJB7
6 87322588 87342329 SMIM8
6 87344813 87365463 C6orf163
6 87397124 87399741 LINC01590
6 87407972 87464465 CFAP206
6 87472974 87512336 SLC35A1
6 87674860 87702233 AKIRIN2
6 87784860 87911731 LOC101928911
6 88525924 88539369 LOC101928936
6 89080162 89080580 PNRC1-DT
6 89364616 89412273 RRAGD
6 89632224 89638747 LYRM2
6 89638532 89689481 MDN1-AS1
6 89642498 89819794 MDN1
6 89829880 89874436 CASP8AP2
6 89894469 89896120 GJA10
6 89926528 90296843 BACH2
6 90312742 90312833 MIR4464
6 91521660 91521737 MIR4643
6 91629040 91690428 CASC6
6 93704017 93776620 TSG1
6 95560096 95577451 MANEA-DT
6 96521806 96555276 UFL1
6 96889315 96897891 NDUFAF4
6 97305586 97708917 LOC101927314
6 98024531 98024621 MIR2113
6 98830141 98831700 PNKY
6 98834574 98839458 POU3F2
6 99124609 99124696 MIR548AI
6 99424871 99431315 PNISR-AS1
6 99606833 99615562 PRDM13
6 99994038 100076419 MCHR2-AS1
6 100385009 100464921 SIM1
6 100393486 100444796 SIM1-AS1
6 104728094 104859919 HACE1
6 104936294 104940527 LIN28B-AS1
6 105096822 105137157 BVES
6 105137687 105169945 BVES-AS1
6 106451496 106457248 LOC105377924
6 106695485 106699994 LINC02526
6 106717452 106787541 LINC02532
6 106784125 106784220 MIR587
6 106969831 106976855 CD24
6 108123633 108159395 OSTM1-AS1
6 108166022 108188809 NR2E1
6 108211222 108261040 SNX3
6 108751654 108769942 LINC00222
6 108908140 108924103 ARMC2-AS1
6 108984309 109094846 SESN1
6 109095163 109174418 CEP57L1
6 109366514 109382467 CD164
6 109444062 109465968 MICAL1
6 109462594 109483219 ZBTB24
6 109483644 109506852 ZBTB24-DT
6 109978311 109980720 GPR6
6 110099819 110179670 WASF1
6 110243940 110358349 METTL24
6 110388321 110415575 DDO
6 110814617 110895713 AMD1
6 110848546 110848673 SNORA40C
6 110958706 110967872 GTF3C6
6 110982038 111028263 RPF2
6 111113834 111113939 SNORD166
6 111259339 111280005 MFSD4B
6 111483472 111602295 TRAF3IP2-AS1
6 111555381 111605878 TRAF3IP2
6 111873452 111877310 LOC102724646
6 111900305 111909397 LINC02527
6 112236596 112306683 LAMA4-AS1
6 112347330 112351294 RFPL4B
6 113428540 113433447 LINC02518
6 113623535 113650075 LINC02541
6 113857345 113863475 MARCKS
6 113868013 113873347 MROCKI
6 113904387 113921642 LINC02880
6 113969701 114340729 HDAC2-AS2
6 114476925 114545320 LNCPOIR
6 115633542 115643835 LINC02534
6 116249964 116254075 TSPYL4
6 116254171 116444861 DSE
6 116274858 116279930 TSPYL1
6 116367425 116371719 LOC100287467
6 116460478 116463704 CALHM6-AS1
6 116494989 116545684 TRAPPC3L
6 116511639 116524788 CALHM5
6 116635618 116668766 ZUP1
6 116752197 116765719 FAM162B
6 117560269 117602511 GOPC
6 117672813 117675284 LOC101927919
6 117675469 117710727 NUS1
6 117907264 118317671 SLC35F1
6 118085903 118095472 LOC105377967
6 118548296 118561716 PLN
6 118813455 118935159 MCM9
6 118894152 118909171 ASF1A
6 118959763 119149128 FAM184A
6 119069047 119069143 MIR548B
6 119452547 119491302 LOC285762
6 119549808 119845084 LOC105377975
6 120015179 120015257 MIR3144
6 121435646 121449727 GJA1
6 122399551 122433119 HSF2
6 122443351 122471807 SERINC1
6 122749201 122784074 FABP7
6 122789258 122809720 SMPDL3A
6 123216339 123636950 TRDN
6 123439604 123471756 TRDN-AS1
6 124908243 124963027 RNF217-AS1
6 125182943 125197817 LOC100126584
6 125370037 125445179 LOC102723341
6 125577528 125749425 HEY2-AS1
6 125674353 125720218 LINC02523
6 125797861 125818858 NCOA7-AS1
6 125956770 125980244 HINT3
6 126484631 126484713 MIR588
6 127438406 127519335 SOGA3-KIAA0408
6 127438406 127459389 KIAA0408
6 127472974 127519335 MTCL3
6 127577174 127591820 C6orf58
6 127968785 128520599 PTPRK
6 128027865 128086293 PTPRK-AS1
6 128883138 129516566 LAMA2
6 129576132 129710177 ARHGAP18
6 129831244 129861315 TMEM244
6 130827406 130837135 SMLR1
6 130839347 131063245 EPB41L2
6 131573226 131584329 ARG1
6 131699644 131701401 OR2A4
6 131708441 131711017 CTAGE9
6 131792172 131792231 MIR548H5
6 131808020 131895155 ENPP1
6 131901952 132102325 CCN2-AS1
6 131948176 131951372 CCN2
6 132115192 132115263 MIR548AJ1
6 132132572 132169374 LINC01013
6 132445867 132513472 STX7
6 132538277 132539336 TAAR9
6 132552672 132553756 TAAR8
6 132570322 132571359 TAAR6
6 132588592 132616747 TAAR5
6 132617150 132624275 TAAR2
6 132643312 132659182 TAAR1
6 132680849 132714055 VNN1
6 132814569 132817564 RPS12
6 132815307 132815379 SNORD101
6 132816802 132816877 SNORD100
6 132817219 132817351 SNORA33
6 133088080 133106578 LINC00326
6 133502252 133889006 TARID
6 133821147 133853992 LINC01312
6 133889113 133895537 TCF21
6 133952174 133990432 TBPL1
6 133953304 133980088 LOC128092253
6 134169256 134318112 SGK1
6 134429030 134478897 CT69
6 134437716 134504020 LINC01010
6 134525318 134540005 LINC03002
6 134917393 134950101 ALDH8A1
6 134979338 134979432 MIR3662
6 135239160 135239256 MIR548A2
6 135497801 135716055 AHI1-DT
6 135628787 135634681 LINC02524
6 135851701 136195574 PDE7B
6 135854036 135880840 LOC101928373
6 136043852 136072827 PDE7B-AS1
6 136256627 136289846 BCLAF1
6 136550723 136552505 MAP7-AS1
6 136629114 136648198 MAP3K5-AS1
6 136784047 136786054 MAP3K5-AS2
6 136922301 136925660 SLC35D3
6 136982159 136993231 NHEG1
6 137143820 137173644 IL22RA2
6 137492199 137494394 OLIG3
6 137665646 137674554 LINC03004
6 137730170 137739037 LINC02539
6 137823669 137868233 WAKMAR2
6 137943075 137945800 SIMALR
6 137945348 137951803 LINC02865
6 138088505 138107419 PERP
6 138215986 138218491 PBOV1
6 138377905 138383486 SMIM28
6 138403531 138422197 HEBP2
6 138435213 138435294 MIR3145
6 138691668 138697288 NHSL1-AS1
6 138725215 138773703 CCDC28A-AS1
6 138773769 138793319 CCDC28A
6 139135080 139180802 HECA
6 139271336 139287301 LOC102723690
6 139371807 139374648 CITED2
6 139468995 139474596 LINC01625
6 139771073 139860471 FILNC1
6 139976319 140093721 LINC02941
6 139978350 139991261 LOC103352541
6 140205252 140205326 MIR3668
6 140683814 140683883 MIR4465
6 142074484 142147122 NMBR
6 142132925 142135358 GJE1
6 142147263 142224685 VTA1
6 142526455 142637889 LOC153910
6 142966421 143037582 LINC01277
6 143059213 143343883 AIG1
6 143450805 143490616 PEX3
6 143494812 143511720 FUCA2
6 143536878 143831185 PHACTR2
6 143554115 143569339 PHACTR2-AS1
6 143843338 143863812 LTV1
6 143864474 143938343 ZC2HC1B
6 143940300 144064599 PLAGL1
6 144004916 144008259 HYMAI
6 144094884 144095573 SF3B5
6 144285335 144853034 UTRN
6 144405655 144405767 SNORA98
6 145734869 145886585 EPM2A-DT
6 146543833 146554953 RAB32
6 146594516 146598931 ADGB-DT
6 146598972 146815462 ADGB
6 146841388 147204614 STXBP5-AS1
6 147158925 147180992 LUADT1
6 148954259 148964684 UST-AS1
6 149027229 149032661 UST-AS2
6 149243283 149257551 TAB2-AS1
6 149400262 149401278 SUMO4
6 149446795 149485014 ZC3H12D
6 149504495 149546043 PPIL4
6 149566375 149591748 GINM1
6 149717621 149718896 LOC645967
6 149818757 149896130 RAET1E-LRP11
6 149818757 149864359 LRP11
6 149863498 149919508 RAET1E-AS1
6 149883179 149898113 RAET1E
6 149934513 149936319 LOC105378052
6 150018334 150025532 RAET1L
